trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,sector_strength_raw,sector_strength_score,stock_leadership_vs_sector_raw,stock_leadership_vs_sector_score,broad_market_regime_alignment_raw,broad_market_regime_alignment_score,catalyst_quality_raw,catalyst_quality_score,catalyst_verification_confidence_raw,catalyst_verification_confidence_score,catalyst_freshness_relevance_raw,catalyst_freshness_relevance_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,score_pct_reachable,score_pct_fixed120,reachable_metric_count,unavailable_metrics,benchmark_symbol,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,news_article_count,news_fetch_status,admitted_event_count,best_event_type,source_tier,verification_status,freshest_event_age_minutes,sentiment,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,cost_model_id,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_v1.0_net_realized_return_pct,execution_policy_v1.0_cost_bps,execution_policy_v1.0_net_capture_ratio,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct,execution_policy_atr_v1.0_net_realized_return_pct,execution_policy_atr_v1.0_cost_bps,execution_policy_atr_v1.0_net_capture_ratio
2024-03-07,AA,BBG00B3T3HF1,true,18,38,28.220000,28.850000,1316911.996667,153089429.197500,5036477243.760000,1.144367,1,,,-0.007217,0,,,,,0.725056,2,,,2.232459,2,0.451591,1,40.540541,0,0,0,0.639159,0,,,41.935484,0,,,,,,,0.628502,3,,0,UNVERIFIED,0,,0,3.985294,1,2.409639,0,153089429.197500,4,1316911.996667,3,17,17.000000,17.000000,14.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,6,12.500000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,28.860000,30.100000,28.860000,29.870000,4.296604,0.000000,3.499653,2024-03-07T15:27:00-05:00,2.772003,1.697852,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,AAL,BBG005P7Q907,true,27,39,14.880000,14.930000,1114621.853333,451232947.015500,9724683384.000000,0.473709,0,,,0.001961,0,0.004184,0,,,-0.360113,0,2.234950,4,0.336022,0,0.165397,0,42.105263,0,1,1,0.419578,0,,,52.656748,1,52.391200,1,0.165384,0,-0.490271,0,0.660908,3,MERGER_ACQUISITION,4,SINGLE_SOURCE,1,,0,2.955069,1,1.142473,0,451232947.015500,4,1114621.853333,3,23,23.000000,23.000000,19.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,5,10.416667,alpha_v1.3_25m,,false,7,AVAILABLE,7,MERGER_ACQUISITION,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,14.850000,15.000000,14.810000,14.890000,1.010101,-0.269360,0.269360,2024-03-07T09:54:00-05:00,1.010101,0.841751,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,ACHR,BBG00XRTC929,true,15,30,4.250000,4.320000,119103.040767,29058669.325500,1258884879.750000,0.407578,0,0.007977,0,,,,,-8.412498,0,,,,,1.647059,1,0.093767,0,34.482759,0,0,0,0.463403,0,66.666667,3,,,,,0.197791,0,0.820766,0,0.628502,3,,0,UNVERIFIED,0,,0,6.243697,2,2.352941,0,29058669.325500,3,119103.040767,0,12,12.000000,12.000000,10.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,1,2.083333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,4.320000,4.450100,4.000000,4.300000,3.011574,-7.407407,-0.462963,2024-03-07T09:36:00-05:00,3.011574,0.405093,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,ADT,BBG001S6VGG6,false,56,134,7.470000,6.950000,14741061.841133,28528986.449500,6881551160.849999,704.621673,4,0.123040,4,0.099580,4,0.048157,2,1.969535,3,2.684904,4,0.415300,1,-6.961178,0,1.596306,3,36.090226,0,3,4,2.087045,4,67.857143,3,63.076923,3,56.666667,2,0.821539,1,-8.411219,0,0.628502,3,OFFERING_DILUTION,0,SINGLE_SOURCE,1,,0,3.251004,1,6.693440,2,28528986.449500,3,14741061.841133,4,56,56.000000,56.000000,46.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,33,68.750000,alpha_v1.3_25m,66.666667,false,4,AVAILABLE,4,OFFERING_DILUTION,OTHER,SINGLE_SOURCE,,NEGATIVE,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,7.160000,7.160000,6.550000,6.710000,0.000000,-8.519553,-6.284916,2024-03-07T09:30:00-05:00,0.000000,-3.980447,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,AEO,BBG001S7Q949,false,55,87,23.450000,26.650000,20493104.243667,95032295.465000,4630988825.400000,115.069563,4,-0.048061,0,0.038121,2,0.014288,0,-12.263225,0,-0.468096,0,-0.251675,0,13.646055,4,1.749736,3,45.348837,0,0,0,6.452567,4,51.685393,1,59.649123,2,46.859458,0,0.026806,0,12.990747,3,0.628502,3,GUIDANCE,4,SINGLE_SOURCE,1,1218.000000,1,2.809473,1,18.136887,4,95032295.465000,4,20493104.243667,4,45,45.000000,45.000000,37.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,17,35.416667,alpha_v1.3_25m,,false,11,AVAILABLE,10,GUIDANCE,HIGH_QUALITY_WIRE,SINGLE_SOURCE,1218.000000,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,26.120000,26.440000,22.930000,23.040000,1.225115,-12.212864,-11.791730,2024-03-07T09:31:00-05:00,1.225115,-3.196784,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,AFRM,BBG00Y7BP8Z0,true,18,45,36.870000,37.630000,1724986.868000,471600535.623000,11123809519.799999,0.227883,0,,,,,,,,,,,,,2.061296,2,0.918975,2,56.818182,1,0,0,0.504497,0,,,,,,,0.885479,1,0.653993,0,0.521824,3,,0,UNVERIFIED,0,,0,5.412569,2,3.010578,1,471600535.623000,4,1724986.868000,3,19,19.000000,19.000000,15.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,5,10.416667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,37.470000,37.611700,36.234000,36.580000,0.378169,-3.298639,-2.375234,2024-03-07T09:35:00-05:00,0.378169,-2.095009,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,AG,BBG001SGV444,false,30,40,5.100000,5.160000,284835.676200,31183370.639500,1463040595.500000,1.301980,2,-0.055261,0,-0.026154,0,0.002229,0,21.267822,4,2.806180,4,2.278781,4,1.176471,1,-0.515777,0,38.461538,0,1,1,0.466643,0,20.000000,0,30.000000,0,50.000000,1,,,,,0.628502,3,,0,UNVERIFIED,0,,0,4.551401,2,1.960784,0,31183370.639500,3,284835.676200,1,26,26.000000,26.000000,21.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,16,33.333333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,5.200000,5.330000,5.100000,5.315000,2.500000,-1.923077,2.211538,2024-03-07T14:50:00-05:00,0.576923,-0.769231,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,AGNC,BBG001T074G2,true,24,40,9.580000,9.640000,648226.697533,107131296.959000,6207840000.000000,0.618237,0,0.005188,0,0.004312,0,0.008704,0,18.952087,4,14.285883,4,3.309827,4,0.626305,0,0.228374,0,35.897436,0,3,3,0.445486,0,50.000000,1,50.000000,1,62.500000,3,0.746395,1,-0.780998,0,0.660908,3,OTHER,1,SINGLE_SOURCE,1,,0,1.666493,0,0.730689,0,107131296.959000,4,648226.697533,2,32,32.000000,32.000000,26.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,15,31.250000,alpha_v1.3_25m,35.416667,false,2,AVAILABLE,2,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.645000,9.710000,9.620000,9.620000,0.673924,-0.259202,-0.259202,2024-03-07T09:35:00-05:00,0.673924,0.000000,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,AGR,BBG00B8NWRH3,true,14,32,32.080000,35.800000,2927361.856667,23148368.722500,12407610953.199999,689.736070,4,0.044097,2,0.019342,1,,,13.171458,4,13.463691,4,,,11.596010,4,0.672761,2,58.064516,1,2,2,3.378607,4,85.714286,4,62.500000,3,,,0.304468,0,10.769717,3,0.521824,3,OTHER,1,SINGLE_SOURCE,1,,0,2.327017,1,7.450125,2,23148368.722500,2,2927361.856667,4,52,52.000000,52.000000,43.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,28,58.333333,alpha_v1.3_25m,43.750000,false,2,AVAILABLE,2,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,35.800000,36.305000,35.750000,36.240000,1.410615,-0.139665,1.229050,2024-03-07T10:32:00-05:00,1.047486,0.782123,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-07,AI,BBG00Y6G6Y84,false,35,87,32.460000,33.000000,3510198.436133,399821515.374500,3836829259.440000,0.331054,0,0.014847,0,-0.002384,0,0.004520,0,7.496311,4,4.011596,4,-0.569668,0,1.663586,1,0.309628,1,48.837209,0,1,1,0.550914,0,48.485766,0,50.000000,1,54.926108,1,0.821539,1,0.213545,0,0.628502,3,EARNINGS,4,SINGLE_SOURCE,1,,0,7.778695,3,3.542822,1,399821515.374500,4,3510198.436133,4,34,34.000000,34.000000,28.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,11,22.916667,alpha_v1.3_25m,,false,6,AVAILABLE,6,EARNINGS,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,32.640000,33.000000,31.748500,31.760000,1.102941,-2.731311,-2.696078,2024-03-07T09:32:00-05:00,1.102941,-0.398284,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
