trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,sector_strength_raw,sector_strength_score,stock_leadership_vs_sector_raw,stock_leadership_vs_sector_score,broad_market_regime_alignment_raw,broad_market_regime_alignment_score,catalyst_quality_raw,catalyst_quality_score,catalyst_verification_confidence_raw,catalyst_verification_confidence_score,catalyst_freshness_relevance_raw,catalyst_freshness_relevance_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,score_pct_reachable,score_pct_fixed120,reachable_metric_count,unavailable_metrics,benchmark_symbol,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,news_article_count,news_fetch_status,admitted_event_count,best_event_type,source_tier,verification_status,freshest_event_age_minutes,sentiment,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,cost_model_id,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_v1.0_net_realized_return_pct,execution_policy_v1.0_cost_bps,execution_policy_v1.0_net_capture_ratio,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct,execution_policy_atr_v1.0_net_realized_return_pct,execution_policy_atr_v1.0_cost_bps,execution_policy_atr_v1.0_net_capture_ratio
2024-03-01,AAL,BBG005P7Q907,true,24,40,15.680000,15.720000,952185.405900,422192061.924000,10247515824.000000,0.369434,0,-0.011633,0,-0.002291,0,0.001113,0,2.797940,4,-4.080013,0,0.393250,1,0.255102,0,0.126147,0,38.461538,0,1,1,0.318593,0,50.000000,1,56.180470,2,46.180290,0,0.143955,0,0.000929,0,0.110219,1,EARNINGS,4,SINGLE_SOURCE,1,,0,2.409803,1,0.829082,0,422192061.924000,4,952185.405900,2,22,22.000000,22.000000,18.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,6,12.500000,alpha_v1.3_25m,,false,6,AVAILABLE,6,EARNINGS,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,15.695000,15.695000,15.374000,15.660000,0.000000,-2.045237,-0.223001,2024-03-01T09:30:00-05:00,0.000000,-1.784008,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,AAOI,BBG001SG47G4,true,13,29,15.980000,16.140000,559919.123333,82774651.848000,532813565.480000,0.317991,0,,,,,,,,,,,,,1.001252,1,-0.883203,0,25.000000,0,0,0,0.310685,0,,,,,,,0.569377,1,0.382790,0,0.049085,1,,0,UNVERIFIED,0,,0,16.206285,4,3.128911,1,82774651.848000,4,559919.123333,2,14,14.000000,14.000000,11.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,1,2.083333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,16.290000,16.290000,14.890000,15.405000,0.000000,-8.594230,-5.432781,2024-03-01T09:30:00-05:00,0.000000,-7.292818,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,ABR,BBG001SJP3G4,true,21,41,13.400000,12.990000,679591.331000,90666038.788000,2525922002.800000,1.389729,2,,,,,0.008162,0,,,,,0.435574,1,-3.059701,0,0.169163,0,35.000000,0,1,1,0.406221,0,,,,,57.142857,2,0.211916,0,-3.320702,0,0.049085,1,OTHER,1,SINGLE_SOURCE,1,,0,3.929904,1,1.641791,0,90666038.788000,4,679591.331000,2,16,16.000000,16.000000,13.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,4,8.333333,alpha_v1.3_25m,,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,12.940000,12.970000,12.630000,12.930000,0.231839,-2.395672,-0.077280,2024-03-01T15:29:00-05:00,0.077280,-1.468315,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,ACB,BBG001SV77D1,true,11,16,3.140000,3.200000,40683.387433,3503253.315385,1350274590.700000,0.100335,0,0.010132,0,,,,,-5.227050,0,,,,,1.910828,1,0.349559,1,33.333333,0,0,0,0.288864,0,57.163324,2,,,,,,,,,0.049085,1,GUIDANCE,4,SINGLE_SOURCE,1,,0,11.253412,4,1.907643,0,3503253.315385,0,40683.387433,0,14,14.000000,14.000000,11.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,2,4.166667,alpha_v1.3_25m,,false,1,AVAILABLE,1,GUIDANCE,HIGH_QUALITY_WIRE,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,3.170000,3.240000,2.980000,3.180000,2.208202,-5.993691,0.315457,2024-03-01T13:27:00-05:00,0.000000,-4.258675,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,ACHR,BBG00XRTC929,true,18,37,4.830000,4.860000,148132.565400,26252383.071500,1430685639.810000,0.449573,0,0.011222,0,,,,,5.251834,4,,,,,0.621118,0,0.072337,0,33.333333,0,1,1,0.353953,0,50.000000,1,,,,,0.205089,0,0.366945,0,0.049085,1,ANALYST_ACTION,2,SINGLE_SOURCE,1,,0,5.664005,2,1.656315,0,26252383.071500,3,148132.565400,0,15,15.000000,15.000000,12.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,5,10.416667,alpha_v1.3_25m,,false,3,AVAILABLE,3,ANALYST_ACTION,HIGH_QUALITY_WIRE,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,4.810000,4.828400,4.540000,4.550000,0.382536,-5.613306,-5.405405,2024-03-01T09:31:00-05:00,0.382536,-3.430353,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,AFRM,BBG00Y7BP8Z0,true,13,29,37.520000,37.630000,941653.820233,523139209.245000,11319916820.800001,0.110527,0,,,,,,,,,,,,,0.293177,0,0.087841,0,35.714286,0,0,0,0.153711,0,,,,,,,0.150782,0,0.032176,0,0.110219,1,OTHER,1,SINGLE_SOURCE,1,,0,7.478240,3,0.959488,0,523139209.245000,4,941653.820233,2,12,12.000000,12.000000,10.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,0,0.000000,alpha_v1.3_25m,,false,4,AVAILABLE,4,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,37.600000,38.440000,36.610000,38.010000,2.234043,-2.632979,1.090426,2024-03-01T14:57:00-05:00,0.292553,-1.946809,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,AGNC,BBG001T074G2,true,25,75,9.560000,9.510200,1327560.921800,114543587.778500,6194880000.000000,1.219581,1,-0.005828,0,0.003742,0,0.002794,0,10.741426,4,-4.910016,0,0.740626,2,-0.520921,0,0.025520,0,25.675676,0,1,1,0.439362,0,5.309735,0,60.000000,2,50.123457,1,0.112937,0,-0.781921,0,0.148064,1,OTHER,1,SINGLE_SOURCE,1,,0,1.950164,0,0.836820,0,114543587.778500,4,1327560.921800,3,21,21.000000,21.000000,17.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,8,16.666667,alpha_v1.3_25m,,false,2,AVAILABLE,2,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.530000,9.600000,9.475000,9.580000,0.734523,-0.577125,0.524659,2024-03-01T14:32:00-05:00,0.209864,-0.157398,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,AI,BBG00Y6G6Y84,false,60,175,36.970000,35.720000,19629224.591000,331352454.574000,4369919215.080000,2.033821,4,-0.022571,0,-0.013674,0,-0.020823,0,-2.292495,0,-2.411892,0,-0.619681,0,-3.381120,0,-1.185260,0,36.206897,0,0,0,0.716703,0,45.945946,0,50.714898,1,42.152849,0,0.236346,0,-3.666551,0,0.049085,1,EARNINGS,4,SINGLE_SOURCE,1,1154.983333,1,6.375440,2,4.219638,1,331352454.574000,4,19629224.591000,4,23,23.000000,23.000000,19.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,4,8.333333,alpha_v1.3_25m,,false,18,AVAILABLE,18,EARNINGS,OTHER,SINGLE_SOURCE,1154.983333,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,35.660000,35.900000,33.710000,35.880000,0.673023,-5.468312,0.616938,2024-03-01T15:59:00-05:00,0.616938,-4.627033,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,ALT,BBG001SNS461,true,25,42,12.100000,12.348100,348845.935633,68211710.637500,637505754.600000,0.159364,0,-0.014044,0,-0.022916,0,0.007539,0,3.257386,4,-7.120735,0,-2.506937,0,2.050413,2,0.513325,2,39.024390,0,0,0,0.312524,0,54.597049,1,43.459152,0,58.000271,2,0.117374,0,1.883955,0,0.049085,1,GUIDANCE,4,SINGLE_SOURCE,1,,0,11.054545,4,3.305785,1,68211710.637500,4,348845.935633,1,27,27.000000,27.000000,22.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,8,16.666667,alpha_v1.3_25m,,false,1,AVAILABLE,1,GUIDANCE,HIGH_QUALITY_WIRE,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,12.160000,12.680000,11.920000,12.090000,4.276316,-1.973684,-0.575658,2024-03-01T09:32:00-05:00,4.276316,-1.398026,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,AMC,BBG001SZYYL4,false,45,100,4.320000,4.350000,1002940.114767,64565710.473000,856901799.360000,0.769644,0,-0.008474,0,0.000606,0,-0.003986,0,3.776590,4,3.331214,4,-1.847961,0,0.694444,0,-0.137034,0,33.333333,0,1,1,0.625349,0,50.000000,1,44.493882,0,47.217585,0,,,,,0.049085,1,OFFERING_DILUTION,0,SINGLE_SOURCE,1,1154.983333,1,8.551753,3,4.629630,1,64565710.473000,4,1002940.114767,3,24,24.000000,24.000000,20.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,9,18.750000,alpha_v1.3_25m,,false,16,AVAILABLE,16,OFFERING_DILUTION,OTHER,SINGLE_SOURCE,1154.983333,NEGATIVE,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,4.340000,4.500000,4.230000,4.350000,3.686636,-2.534562,0.230415,2024-03-01T11:17:00-05:00,1.612903,1.149770,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
