trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct
2024-04-17,AA,BBG00B3T3HF1,false,43,118,36.090000,37.050000,5251476.545233,222623780.245500,6441051159.720000,3.356963,4,-0.000995,0,-0.019586,0,-0.000365,0,2.180794,4,1.966230,3,1.381491,3,2.660017,2,-0.237235,0,43.589744,0,0,0,0.745498,0,46.459926,0,41.404011,0,48.579545,0,4.271009,2,2.992519,0,222623780.245500,4,5251476.545233,4,26,34.210526,16,33.333333,alpha_v1.1_19m,,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,37.160000,37.480000,35.210000,35.570000,0.861141,-5.247578,-4.278794,2024-04-17T10:32:00-04:00,0.511302,0.000000,false,,0.000000,,,,,,
2024-04-17,AAL,BBG005P7Q907,false,48,101,13.030000,13.410000,4628657.862000,416962939.589000,8515633366.500000,1.916598,3,0.005537,0,0.010884,0,0.019373,1,15.734910,4,3.098556,4,-2.754960,0,2.916347,2,0.721788,2,34.000000,0,2,2,0.596700,0,61.538462,2,65.000000,3,66.681495,3,3.697237,1,1.688411,0,416962939.589000,4,4628657.862000,4,35,46.052632,18,37.500000,alpha_v1.1_19m,33.333333,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,13.450000,13.970000,13.380000,13.890000,3.866171,-0.520446,3.271375,2024-04-17T15:49:00-04:00,1.858736,1.399257,false,,0.000000,,,,,,
2024-04-17,ACB,BBG001SV77D1,true,12,29,5.900000,5.900000,179980.149967,89722953.481750,2802795000.000000,0.122791,0,,,,,,,,,,,,,0.000000,0,1.274835,3,32.142857,0,0,0,0.241485,0,,,,,,,19.659806,4,4.201695,1,89722953.481750,4,179980.149967,0,12,15.789474,3,6.250000,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,5.770000,6.160000,5.440000,5.830000,6.759099,-5.719237,1.039861,2024-04-17T13:55:00-04:00,4.852686,1.906412,false,,0.000000,,,,,,
2024-04-17,ACHR,BBG00XRTC929,true,12,27,3.860000,3.890000,155282.238700,19517564.033000,1161001949.020000,0.764826,0,,,,,,,,,,,,,0.777202,0,0.537815,2,38.461538,0,0,0,0.880389,0,,,,,,,5.182642,2,4.145078,1,19517564.033000,2,155282.238700,0,7,9.210526,2,4.166667,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,3.910000,3.940000,3.780000,3.785000,0.767263,-3.324808,-3.196931,2024-04-17T09:38:00-04:00,0.767263,-1.017903,false,,0.000000,,,,,,
2024-04-17,AG,BBG001SGV444,true,17,50,6.840000,6.899900,667372.872133,87033559.736500,1962678676.680000,0.665440,0,0.023301,1,,,,,5.196683,4,,,,,0.875731,0,-0.109704,0,44.897959,0,1,1,0.304036,0,66.500000,3,,,,,8.263576,3,2.046784,0,87033559.736500,4,667372.872133,2,18,23.684211,6,12.500000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,6.910000,7.115000,6.765000,6.850000,2.966715,-2.098408,-0.868307,2024-04-17T09:53:00-04:00,2.966715,1.953690,false,,0.000000,,,,,,
2024-04-17,AGNC,BBG001T074G2,true,25,55,8.960000,9.010000,712267.415367,99228384.391500,6013108496.640000,0.678824,0,0.011057,0,0.004552,0,-0.000481,0,12.557325,4,-2.637368,0,-0.107112,0,0.558036,0,-0.036668,0,24.074074,0,1,1,0.601177,0,100.000000,4,98.543689,4,42.917847,0,1.967554,0,1.004464,0,99228384.391500,4,712267.415367,2,19,25.000000,5,10.416667,alpha_v1.1_19m,18.750000,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.020000,9.110000,9.000000,9.045000,0.997783,-0.221729,0.277162,2024-04-17T09:51:00-04:00,0.997783,0.776053,false,,0.000000,,,,,,
2024-04-17,AI,BBG00Y6G6Y84,true,25,56,20.500000,20.660000,1310302.838433,115177900.955000,2423136162.000000,0.802270,0,0.023718,4,0.005380,4,0.000848,0,4.051982,4,-0.857242,0,-0.769367,0,0.780488,0,0.078507,0,34.545455,0,1,1,0.697169,0,58.823529,2,57.500000,2,54.166667,1,4.718328,2,2.585366,0,115177900.955000,4,1310302.838433,3,27,35.526316,13,27.083333,alpha_v1.1_19m,33.333333,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,20.540000,21.110000,20.340000,20.600000,2.775073,-0.973710,0.292113,2024-04-17T14:43:00-04:00,1.898734,1.119766,false,,0.000000,,,,,,
2024-04-17,ALT,BBG001SNS461,true,12,15,7.520000,7.540000,101104.302333,32654261.185750,404041109.920000,0.084320,0,,,,,,,,,,,,,0.265957,0,-0.030268,0,42.857143,0,0,0,0.225821,0,,,,,,,10.835391,4,1.861702,0,32654261.185750,3,101104.302333,0,7,9.210526,0,0.000000,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,7.650000,7.650000,7.010000,7.050000,0.000000,-8.366013,-7.843137,2024-04-17T09:30:00-04:00,0.000000,-2.091503,false,,0.000000,,,,,,
2024-04-17,AMC,BBG001SZYYL4,false,55,175,2.720000,2.920000,2259587.394600,55819406.557000,539530762.560000,1.586714,3,0.245887,4,0.083134,4,0.061908,3,15.578436,4,7.993219,4,4.680960,4,7.352941,4,2.948666,4,31.034483,0,3,3,1.188766,1,71.408183,4,69.230769,3,71.030494,4,9.676996,3,7.720588,2,55819406.557000,4,2259587.394600,3,61,80.263158,38,79.166667,alpha_v1.1_19m,62.500000,true,QUALIFYING_THRESHOLD,,PASS,false,,2.940000,3.030000,2.820000,2.960000,3.061224,-4.081633,0.680272,2024-04-17T09:39:00-04:00,3.061224,-0.329932,false,TRAILING_STOP,-1.000000,-0.134286,1.000000,SESSION_END,0.680272,0.091351,13.429300
2024-04-17,APG,BBG00HVV7984,false,56,76,39.110000,36.800000,35197295.093333,44157624.956000,9212719138.700001,1068.510040,4,-0.038878,0,-0.024999,0,-0.022103,0,0.606943,2,2.590195,4,2.928618,4,-5.906418,0,-0.689660,0,33.333333,0,0,0,1.920399,3,18.750000,0,39.393939,0,36.486486,0,2.301384,1,3.784198,1,44157624.956000,3,35197295.093333,4,26,34.210526,17,35.416667,alpha_v1.1_19m,,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,36.900000,37.480000,36.760000,37.060000,1.571816,-0.379404,0.433604,2024-04-17T09:56:00-04:00,1.571816,1.138211,false,,0.000000,,,,,,
2024-04-17,APLS,BBG007KGRPZ3,true,20,26,51.820000,51.730000,1163669.228000,63333616.653500,6140667149.900000,4.832872,4,0.026567,1,-0.001310,0,-0.001310,0,-11.412619,0,-6.016535,0,-6.016535,0,-0.173678,0,0.204242,0,48.000000,0,0,0,0.391313,0,61.562139,2,59.471366,2,59.471366,2,5.323675,2,1.794674,0,63333616.653500,4,1163669.228000,3,20,26.315789,5,10.416667,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,51.670000,52.440000,47.960000,48.010000,1.490226,-7.180182,-7.083414,2024-04-17T09:35:00-04:00,1.490226,0.638668,false,,0.000000,,,,,,
2024-04-17,AR,BBG001T61KH8,true,15,17,29.120000,29.700000,304231.083333,113264876.892500,8751841280.000000,3.402192,4,,,,,,,,,,,,,1.991758,1,0.327322,1,43.750000,0,0,0,0.366591,0,,,,,,,3.129611,1,1.047390,0,113264876.892500,4,304231.083333,1,12,15.789474,6,12.500000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,29.920000,30.140000,28.960700,29.160000,0.735294,-3.206217,-2.540107,2024-04-17T09:34:00-04:00,0.735294,-1.102941,false,,0.000000,,,,,,
