trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct
2024-05-13,AAL,BBG005P7Q907,true,21,49,14.400000,14.520000,1749847.071133,445931067.658500,9410983920.000000,0.346621,0,,,,,0.006402,0,,,,,-1.342749,0,0.833333,0,0.307118,1,41.666667,0,0,0,0.231007,0,,,,,57.225434,2,3.350744,1,0.763889,0,445931067.658500,4,1749847.071133,3,11,14.473684,1,2.083333,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,14.540000,15.070000,14.520000,14.930000,3.645117,-0.137552,2.682256,2024-05-13T11:19:00-04:00,3.631362,2.991747,false,,0.000000,,,,,,
2024-05-13,ABR,BBG001SJP3G4,true,11,17,13.100000,13.240000,175637.373667,55202808.043000,2469371510.200000,0.559303,0,0.034726,2,,,,,-25.885152,0,,,,,1.068702,1,0.477453,1,37.500000,0,0,0,0.295095,0,100.000000,4,,,,,3.536532,1,0.880916,0,55202808.043000,4,175637.373667,0,13,17.105263,4,8.333333,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,13.260000,14.180000,13.220000,13.670000,6.938160,-0.301659,3.092006,2024-05-13T10:39:00-04:00,0.452489,0.414781,false,,0.000000,,,,,,
2024-05-13,ACB,BBG001SV77D1,true,12,25,6.460000,6.479400,221832.527033,59177203.048250,3068823000.000000,0.383127,0,-0.036710,0,,,,,-3.588972,0,,,,,0.300310,0,-0.328843,0,37.500000,0,0,0,0.438164,0,1.607717,0,,,,,14.896064,4,5.184211,1,59177203.048250,4,221832.527033,0,9,11.842105,0,0.000000,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,6.500000,6.950000,6.455000,6.690000,6.923077,-0.692308,2.923077,2024-05-13T11:20:00-04:00,4.000000,3.846154,false,,0.000000,,,,,,
2024-05-13,ACHR,BBG00XRTC929,true,19,38,3.650000,3.750000,249410.433000,14963339.102500,1097838630.550000,1.567883,3,0.011571,0,0.040842,2,,,-7.980644,0,5.233925,4,,,2.739726,2,0.945055,2,35.135135,0,1,1,0.624449,0,60.000000,2,63.636364,3,,,5.747945,2,3.284932,1,14963339.102500,2,249410.433000,0,24,31.578947,14,29.166667,alpha_v1.1_19m,25.000000,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,3.740000,4.000000,3.730000,3.745000,6.951872,-0.267380,0.133690,2024-05-13T10:06:00-04:00,5.481283,4.812834,false,,0.000000,,,,,,
2024-05-13,AFRM,BBG00Y7BP8Z0,true,29,54,31.590000,32.220000,1925734.366033,216676094.485750,9531763602.660000,0.581505,0,0.000986,0,0.012188,0,0.013069,0,-4.253785,0,1.701019,3,2.059577,4,1.994302,1,0.526547,2,49.056604,0,2,2,0.245564,0,64.306960,3,59.574468,2,60.121457,2,8.073305,3,1.646091,0,216676094.485750,4,1925734.366033,3,29,38.157895,12,25.000000,alpha_v1.1_19m,18.750000,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,32.380000,33.780000,31.840000,32.010000,4.323657,-1.667696,-1.142681,2024-05-13T10:38:00-04:00,2.655960,1.327980,false,,0.000000,,,,,,
2024-05-13,AG,BBG001SGV444,true,19,38,7.290000,7.290000,321745.014533,61509210.725000,2091802273.830000,0.489219,0,0.000259,0,,,,,-26.635999,0,,,,,0.000000,0,0.468746,1,37.837838,0,0,0,0.235657,0,62.820513,3,,,,,5.083872,2,1.234568,0,61509210.725000,4,321745.014533,1,11,14.473684,1,2.083333,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,7.250000,7.370000,7.021500,7.130000,1.655172,-3.151724,-1.655172,2024-05-13T09:31:00-04:00,1.655172,-0.431724,false,,0.000000,,,,,,
2024-05-13,AGNC,BBG001T074G2,true,21,34,9.660000,9.700000,422492.467767,110552761.779000,6482882597.940001,0.550822,0,,,,,0.007563,0,,,,,0.643068,2,0.414079,0,0.241243,0,39.393939,0,1,1,0.491536,0,,,,,61.160714,2,1.696983,0,0.828157,0,110552761.779000,4,422492.467767,1,10,13.157895,3,6.250000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.720000,9.750000,9.680000,9.695000,0.308642,-0.411523,-0.257202,2024-05-13T09:30:00-04:00,0.308642,-0.051440,false,,0.000000,,,,,,
2024-05-13,AI,BBG00Y6G6Y84,true,19,39,23.890000,24.110400,1489874.742500,97565103.822500,2863579556.330000,0.866259,0,-0.050972,0,-0.014650,0,,,7.828248,4,-7.676375,0,,,0.922562,0,-0.127622,0,42.105263,0,0,0,0.397077,0,5.462185,0,43.957115,0,,,4.006847,2,1.632482,0,97565103.822500,4,1489874.742500,3,13,17.105263,4,8.333333,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,24.360000,25.690000,24.191500,24.960000,5.459770,-0.691708,2.463054,2024-05-13T10:38:00-04:00,3.407225,3.243021,false,,0.000000,,,,,,
2024-05-13,ALT,BBG001SNS461,true,10,14,7.220000,7.250000,66582.569600,21950727.626500,387922448.620000,0.215716,0,0.005563,0,,,,,11.265048,4,,,,,0.415512,0,0.078369,0,46.153846,0,1,1,0.361538,0,50.000000,1,,,,,8.664523,3,2.908587,0,21950727.626500,2,66582.569600,0,11,14.473684,5,10.416667,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,7.320000,7.570000,7.115000,7.380000,3.415301,-2.800546,0.819672,2024-05-13T09:51:00-04:00,3.415301,2.185792,false,,0.000000,,,,,,
2024-05-13,AMC,BBG001SZYYL4,false,60,279,2.910000,3.410000,33530320.423100,70134761.163000,721552926.120000,25.011572,4,0.115221,4,0.063259,3,0.090301,4,-0.396282,0,-1.013449,0,1.462522,3,17.182131,4,4.209458,4,37.410072,0,1,1,1.557290,3,66.622340,3,52.183359,1,59.997501,2,9.032892,3,14.432990,3,70134761.163000,4,33530320.423100,4,50,65.789474,30,62.500000,alpha_v1.1_19m,41.666667,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,true,1,3.520000,5.880000,3.160000,5.222400,67.045455,-10.227273,48.363636,2024-05-13T15:16:00-04:00,5.681818,0.852273,false,,0.000000,,,,,,
