trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,sector_strength_raw,sector_strength_score,stock_leadership_vs_sector_raw,stock_leadership_vs_sector_score,broad_market_regime_alignment_raw,broad_market_regime_alignment_score,catalyst_quality_raw,catalyst_quality_score,catalyst_verification_confidence_raw,catalyst_verification_confidence_score,catalyst_freshness_relevance_raw,catalyst_freshness_relevance_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,score_pct_reachable,score_pct_fixed120,reachable_metric_count,unavailable_metrics,benchmark_symbol,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,news_article_count,news_fetch_status,admitted_event_count,best_event_type,source_tier,verification_status,freshest_event_age_minutes,sentiment,keyword_sentiment_hint,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,cost_model_id,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_v1.0_net_realized_return_pct,execution_policy_v1.0_cost_bps,execution_policy_v1.0_net_capture_ratio,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct,execution_policy_atr_v1.0_net_realized_return_pct,execution_policy_atr_v1.0_cost_bps,execution_policy_atr_v1.0_net_capture_ratio
2024-07-12,AA,BBG00B3T3HF1,true,14,34,39.180000,40.000000,1595935.945400,178442797.608500,6992529355.440000,2.254617,4,,,,,,,,,,,,,2.092905,2,0.051635,0,36.363636,0,0,0,0.585867,0,,,,,,,,,,,1.229353,4,EARNINGS,4,SINGLE_SOURCE,1,953.700000,1,3.801976,1,2.041858,0,178442797.608500,4,1595935.945400,3,24,24.000000,24.000000,20.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,6,12.500000,alpha_v1.3_25m,,false,4,AVAILABLE,4,EARNINGS,OTHER,SINGLE_SOURCE,953.700000,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,40.110000,40.410000,38.870000,38.960000,0.747943,-3.091498,-2.867115,2024-07-12T09:31:00-04:00,0.747943,-1.844926,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,AAL,BBG005P7Q907,false,50,104,10.730000,10.740000,3330151.576533,345478718.780000,7012490101.500000,0.703188,0,-0.001949,0,0.000246,0,-0.000060,0,-13.993544,0,-2.743768,0,1.150381,3,0.093197,0,-0.000961,0,31.067961,0,0,0,0.377707,0,37.752525,0,50.000000,1,51.280082,1,0.698039,1,-0.747139,0,0.142297,1,GUIDANCE,4,SINGLE_SOURCE,1,1152.183333,1,2.619491,1,0.838770,0,345478718.780000,4,3330151.576533,4,22,22.000000,22.000000,18.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,3,6.250000,alpha_v1.3_25m,,false,7,AVAILABLE,7,GUIDANCE,HIGH_QUALITY_WIRE,SINGLE_SOURCE,1152.183333,NEGATIVE,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,10.710000,10.800000,10.570000,10.670000,0.840336,-1.307190,-0.373483,2024-07-12T09:30:00-04:00,0.840336,-0.606909,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,ACB,BBG001SV77D1,true,13,26,6.120000,6.230000,129289.867567,6237616.716000,2907306000.000000,1.951404,3,,,,,,,,,,,,,1.797386,1,0.656356,2,48.000000,0,0,0,0.570088,0,,,,,,,,,,,1.229353,4,OTHER,1,SINGLE_SOURCE,1,3180.000000,0,5.206232,2,3.267974,1,6237616.716000,1,129289.867567,0,16,16.000000,16.000000,13.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,6,12.500000,alpha_v1.3_25m,,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,3180.000000,POSITIVE,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,6.210000,6.240000,5.930000,6.000000,0.483092,-4.508857,-3.381643,2024-07-12T09:30:00-04:00,0.483092,-3.801932,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,ACHR,BBG00XRTC929,false,46,106,4.570000,4.720000,2622291.534667,40259727.620500,1374554120.990000,3.344842,4,0.092302,4,0.068920,4,0.007878,0,6.285014,4,4.881875,4,2.140668,4,3.282276,2,0.770516,2,34.285714,0,3,4,0.848435,0,62.646877,3,65.337423,3,53.426535,1,-0.389016,0,2.441940,1,1.229353,4,OFFERING_DILUTION,0,SINGLE_SOURCE,1,,0,7.306971,3,6.126915,2,40259727.620500,3,2622291.534667,4,57,57.000000,57.000000,47.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,32,66.666667,alpha_v1.3_25m,64.583333,false,3,AVAILABLE,2,OFFERING_DILUTION,OTHER,SINGLE_SOURCE,,NEUTRAL,NEGATIVE,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,4.700000,5.180000,4.670100,5.050000,10.212766,-0.636170,7.446809,2024-07-12T10:36:00-04:00,5.744681,5.531915,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,AFRM,BBG00Y7BP8Z0,false,50,98,29.610000,29.960000,4989346.534633,245752317.750000,8934331126.139999,1.376937,2,-0.053879,0,-0.025457,0,0.003534,0,-2.105153,0,-0.938255,0,0.647190,2,1.182033,1,-0.211727,0,36.082474,0,1,1,0.397910,0,25.000000,0,50.000000,1,47.671324,0,0.726687,1,0.313049,0,0.142297,1,OTHER,1,SINGLE_SOURCE,1,1180.683333,1,4.964804,2,2.093887,0,245752317.750000,4,4989346.534633,4,22,22.000000,22.000000,18.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,6,12.500000,alpha_v1.3_25m,,false,1,AVAILABLE,1,OTHER,HIGH_QUALITY_WIRE,SINGLE_SOURCE,1180.683333,POSITIVE,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,29.830000,30.460000,29.390000,29.540000,2.111968,-1.475025,-0.972176,2024-07-12T09:43:00-04:00,2.111968,-0.871606,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,AG,BBG001SGV444,false,35,73,6.660000,6.500000,683357.058500,29398400.142000,1911029237.820000,1.797017,3,0.009101,0,0.027328,1,-0.004922,0,-11.295905,0,-5.404973,0,-1.214031,0,-2.402402,0,0.363491,1,37.500000,0,0,0,0.603672,0,54.587156,1,60.033445,2,51.727116,1,,,,,1.229353,4,,0,UNVERIFIED,0,,0,3.864114,1,2.402402,0,29398400.142000,3,683357.058500,2,19,19.000000,19.000000,15.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,5,10.416667,alpha_v1.3_25m,12.500000,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,6.540000,6.680000,6.500000,6.580000,2.140673,-0.611621,0.611621,2024-07-12T12:36:00-04:00,1.070336,0.382263,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,AGNC,BBG001T074G2,false,32,76,10.150000,10.180000,1371406.708067,122217338.857000,6811724468.850000,1.304376,2,0.002725,0,0.003612,0,0.003389,0,-10.398440,0,-3.258777,0,-1.331998,0,0.295567,0,0.151588,0,30.666667,0,0,0,0.362511,0,50.000000,1,60.000000,2,52.631579,1,0.726687,1,-0.573417,0,0.142297,1,,0,UNVERIFIED,0,,0,1.427164,0,0.492611,0,122217338.857000,4,1371406.708067,3,15,15.000000,15.000000,12.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,2,4.166667,alpha_v1.3_25m,10.416667,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,10.150000,10.530000,10.150000,10.440000,3.743842,0.000000,2.857143,2024-07-12T13:09:00-04:00,2.364532,1.625616,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,AI,BBG00Y6G6Y84,true,11,24,29.800000,29.890000,531354.813267,114421731.019500,3571982870.600000,0.379042,0,-0.000332,0,,,,,16.698462,4,,,,,0.302013,0,0.011197,0,52.173913,1,0,0,0.156515,0,62.562814,3,,,,,-0.638074,0,-0.289265,0,1.229353,4,,0,UNVERIFIED,0,,0,4.038351,2,0.671141,0,114421731.019500,4,531354.813267,2,20,20.000000,20.000000,16.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,5,10.416667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,29.770000,30.320000,29.520000,29.695000,1.847497,-0.839772,-0.251931,2024-07-12T09:31:00-04:00,1.847497,-0.806181,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,ALTM,0001977303,true,14,25,3.530000,3.570000,134544.757200,44694622.470000,634729300.000000,0.909386,0,,,,,,,,,,,,,1.133144,1,-0.452687,0,45.833333,0,0,0,0.439476,0,,,,,,,,,,,1.229353,4,OTHER,1,SINGLE_SOURCE,1,1809.700000,0,6.171590,2,2.549575,0,44694622.470000,3,134544.757200,0,12,12.000000,12.000000,10.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,1,2.083333,alpha_v1.3_25m,,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,1809.700000,POSITIVE,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,3.610000,3.740000,3.550000,3.670000,3.601108,-1.662050,1.662050,2024-07-12T13:32:00-04:00,0.831025,-1.385042,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-12,AMC,BBG001SZYYL4,false,48,124,5.220000,5.270000,1742295.888200,119740369.594500,1294332053.040000,0.389062,0,0.009437,0,-0.004041,0,0.002186,0,-3.690879,0,-2.413889,0,-0.241197,0,0.957854,0,0.127514,0,33.333333,0,0,0,0.326104,0,57.017544,2,46.406250,0,50.047334,1,-0.271498,0,0.000000,0,1.229353,4,OFFERING_DILUTION,0,SINGLE_SOURCE,1,,0,6.426108,2,2.394636,0,119740369.594500,4,1742295.888200,3,17,17.000000,17.000000,14.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,0,0.000000,alpha_v1.3_25m,,false,1,AVAILABLE,1,OFFERING_DILUTION,OTHER,SINGLE_SOURCE,,POSITIVE,NEGATIVE,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,5.290000,5.350000,5.180000,5.260000,1.134216,-2.079395,-0.567108,2024-07-12T09:37:00-04:00,1.134216,-0.572779,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
