trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,sector_strength_raw,sector_strength_score,stock_leadership_vs_sector_raw,stock_leadership_vs_sector_score,broad_market_regime_alignment_raw,broad_market_regime_alignment_score,catalyst_quality_raw,catalyst_quality_score,catalyst_verification_confidence_raw,catalyst_verification_confidence_score,catalyst_freshness_relevance_raw,catalyst_freshness_relevance_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,score_pct_reachable,score_pct_fixed120,reachable_metric_count,unavailable_metrics,benchmark_symbol,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,news_article_count,news_fetch_status,admitted_event_count,best_event_type,source_tier,verification_status,freshest_event_age_minutes,sentiment,keyword_sentiment_hint,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,cost_model_id,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_v1.0_net_realized_return_pct,execution_policy_v1.0_cost_bps,execution_policy_v1.0_net_capture_ratio,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct,execution_policy_atr_v1.0_net_realized_return_pct,execution_policy_atr_v1.0_cost_bps,execution_policy_atr_v1.0_net_capture_ratio
2024-07-02,AAL,BBG005P7Q907,false,36,93,11.040000,11.080000,2423541.298967,357568816.287000,7215087671.999999,0.776017,0,-0.009394,0,-0.001122,0,0.000971,0,8.124742,4,4.033942,4,2.449580,4,0.362319,0,0.170454,0,38.043478,0,1,1,0.377820,0,50.000000,1,52.937720,1,51.569366,1,0.746660,1,-0.006685,0,-0.377656,0,,0,UNVERIFIED,0,,0,2.457751,1,0.905797,0,357568816.287000,4,2423541.298967,3,25,25.000000,25.000000,20.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,13,27.083333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,11.060000,11.110000,10.950000,11.060000,0.452080,-0.994575,0.000000,2024-07-02T09:38:00-04:00,0.452080,0.000000,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,ACHR,BBG00XRTC929,true,18,30,3.420000,3.470000,367351.044967,29546751.594000,1028659757.940000,1.017352,1,0.007019,0,0.037823,2,,,-2.626529,0,1.314874,3,,,1.461988,1,1.285739,3,41.379310,0,1,1,0.393225,0,58.333333,2,66.666667,3,,,0.339181,0,1.092985,0,0.029823,1,OTHER,1,SINGLE_SOURCE,1,,0,6.568505,2,2.339181,0,29546751.594000,3,367351.044967,1,25,25.000000,25.000000,20.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,11,22.916667,alpha_v1.3_25m,16.666667,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,3.490000,3.790000,3.470000,3.725000,8.595989,-0.573066,6.733524,2024-07-02T09:54:00-04:00,8.595989,6.590258,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,AFRM,BBG00Y7BP8Z0,true,17,30,29.830000,29.700000,1108464.825300,256594049.452000,9000712512.420000,0.268746,0,,,0.038432,2,,,,,0.264751,1,,,-0.435803,0,0.578618,2,48.275862,0,1,1,0.387320,0,,,89.606337,4,,,-0.181003,0,0.122856,0,-0.377656,0,,0,UNVERIFIED,0,,0,7.710239,3,2.202145,0,256594049.452000,4,1108464.825300,3,20,20.000000,20.000000,16.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,6,12.500000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,29.960000,30.130000,29.162900,29.380000,0.567423,-2.660547,-1.935915,2024-07-02T09:42:00-04:00,0.567423,-0.600801,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,AG,BBG001SGV444,true,13,23,5.760000,5.780000,240609.553333,32443372.749500,1652782043.520000,0.712742,0,-0.016613,0,,,,,-7.421583,0,,,,,0.347222,0,0.550230,2,31.818182,0,0,0,0.535362,0,50.000000,1,,,,,,,,,0.029823,1,,0,UNVERIFIED,0,,0,4.166047,2,2.083333,0,32443372.749500,3,240609.553333,0,9,9.000000,9.000000,7.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,2,4.166667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,5.820000,5.940000,5.725000,5.850000,2.061856,-1.632302,0.515464,2024-07-02T09:58:00-04:00,2.061856,1.890034,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,AGNC,BBG001T074G2,true,11,31,9.480000,9.480000,509393.203667,115826818.326500,6362083543.320001,0.595180,0,,,,,,,,,,,,,0.000000,0,0.049391,0,30.000000,0,0,0,0.319940,0,,,,,,,-0.181003,0,0.558659,0,-0.377656,0,,0,UNVERIFIED,0,,0,1.510247,0,0.421941,0,115826818.326500,4,509393.203667,2,6,6.000000,6.000000,5.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,0,0.000000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.490000,9.670000,9.480000,9.655000,1.896733,-0.105374,1.738672,2024-07-02T15:58:00-04:00,0.526870,0.368809,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,AI,BBG00Y6G6Y84,true,11,25,28.610000,28.600000,513035.096833,147632818.001500,3429343286.170000,0.281453,0,,,,,,,,,,,,,-0.034953,0,0.589298,2,45.833333,0,0,0,0.256092,0,,,,,,,-0.763817,0,0.699041,0,0.029823,1,EARNINGS,4,SINGLE_SOURCE,1,3349.483333,0,4.191816,2,1.118490,0,147632818.001500,4,513035.096833,2,16,16.000000,16.000000,13.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,2,4.166667,alpha_v1.3_25m,,false,2,AVAILABLE,2,EARNINGS,OTHER,SINGLE_SOURCE,3349.483333,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,28.650000,29.370000,28.050000,28.090000,2.513089,-2.094241,-1.954625,2024-07-02T09:42:00-04:00,2.513089,1.884817,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,ALB,BBG001S7SBP9,true,10,13,97.410000,98.970000,1406470.206300,344196591.429500,11431382225.520000,1.237960,1,0.133902,4,,,,,-0.215166,0,,,,,1.601478,1,0.886097,2,66.666667,2,0,0,0.677788,0,98.053469,4,,,,,-0.105017,0,2.038214,1,-0.331720,0,,0,UNVERIFIED,0,,0,4.732097,2,2.578585,0,344196591.429500,4,1406470.206300,3,24,24.000000,24.000000,20.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,10,20.833333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,98.810000,102.555300,96.000000,97.070000,3.790406,-2.843842,-1.760955,2024-07-02T09:42:00-04:00,3.790406,0.657828,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,ALT,BBG001SNS461,true,22,32,7.200000,7.070000,421024.270633,33709081.736500,386847871.200000,0.603061,0,0.028918,1,-0.004477,0,-0.004639,0,0.014689,0,1.881581,3,0.062008,0,-1.805556,0,-0.043352,0,29.032258,0,1,1,0.306761,0,62.500000,3,49.861496,0,45.941558,0,-0.466559,0,-1.368819,0,0.029823,1,ANALYST_ACTION,2,SINGLE_SOURCE,1,,0,9.613095,3,2.777778,0,33709081.736500,3,421024.270633,1,19,19.000000,19.000000,15.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,5,10.416667,alpha_v1.3_25m,,false,3,AVAILABLE,3,ANALYST_ACTION,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,7.100000,7.470000,6.710000,6.740000,5.211268,-5.492958,-5.070423,2024-07-02T09:57:00-04:00,5.211268,4.225352,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,AMC,BBG001SZYYL4,false,49,108,5.040000,4.990000,14107812.050667,242075721.867000,1249699913.280000,0.731958,0,0.040826,4,0.019737,4,0.002337,0,-11.150818,0,2.538404,4,-2.112908,0,-0.992063,0,0.639822,2,28.971963,0,1,1,0.096616,0,71.428571,4,53.333333,1,51.440922,1,,,,,0.029823,1,OTHER,1,SINGLE_SOURCE,1,,0,7.971939,3,0.992063,0,242075721.867000,4,14107812.050667,4,35,35.000000,35.000000,29.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,15,31.250000,alpha_v1.3_25m,35.416667,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,5.020000,5.360000,5.000000,5.215000,6.772908,-0.398406,3.884462,2024-07-02T12:08:00-04:00,3.386454,2.211155,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-07-02,APLD,BBG001SK4K76,true,14,28,6.500000,6.450000,210314.773000,39067018.631500,690951592.500000,1.012900,1,0.046969,2,-0.002300,0,,,-11.925007,0,-3.333552,0,,,-0.769231,0,0.552209,2,33.333333,0,0,0,0.195482,0,97.169811,4,50.000000,1,,,-0.763817,0,-0.035237,0,0.029823,1,,0,UNVERIFIED,0,,0,10.541429,4,2.307692,0,39067018.631500,3,210314.773000,0,18,18.000000,18.000000,15.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,5,10.416667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,6.450000,6.730000,6.280000,6.350000,4.341085,-2.635659,-1.550388,2024-07-02T11:22:00-04:00,3.798450,1.627907,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
